student_id,minutes_watched,paid_in_q2
8773,22.3,1
8779,0.6,1
8797,67.9667,1
8798,10.0667,1
8825,0.2167,1
8835,315.4667,1
8868,669.3,1
8873,11.3667,1
8912,291.2167,1
8924,1138.1667,1
8937,428.1667,1
8950,10.8667,1
8952,26.35,1
8964,62.1,1
9000,350.4833,1
9021,159.2667,1
9027,935.5,1
9031,1.55,1
9100,422.1333,1
9107,2167.9,1
9108,2355.7,1
9112,17.8667,1
9114,145.4,1
9178,59.3,1
9188,473.0,1
9231,289.1667,1
9252,0.7333,1
9260,2.0833,1
9303,6.3,1
9305,4035.6,1
9334,68.3667,1
9336,10.9333,1
9354,15.9,1
9372,29.5667,1
9387,26.8667,1
9409,1923.0667,1
9465,1022.0,1
9478,85.0667,1
9513,57.7,1
9521,0.0667,1
9544,0.4,1
9560,103.7167,1
9571,325.1,1
9598,6403.3667,1
9612,92.9667,1
9653,3838.9,1
9703,1225.75,1
9708,197.1333,1
9736,675.7667,1
9746,2541.7333,1
9754,35.9333,1
9793,1071.8167,1
9794,383.85,1
9803,274.0,1
9806,28.2667,1
9856,493.8167,1
9876,0.1167,1
9882,112.4333,1
9952,94.9333,1
9985,101.8333,1
9989,30.9333,1
10002,810.1167,1
10029,14.1,1
10057,26.7,1
10078,16.6333,1
10103,8.75,1
10131,278.8333,1
10158,347.7,1
10218,183.15,1
10272,43.9,1
10276,114.2167,1
10288,771.3333,1
10299,22.8333,1
10337,4.6,1
10365,253.5,1
10390,43.15,1
10398,178.8333,1
10595,38.3333,1
10608,78.65,1
10662,2.9333,1
10685,152.9,1
10690,0.1667,1
10748,1591.3833,1
10791,75.8667,1
10839,2565.85,1
10902,0.4667,1
10938,7.6,1
11002,85.9333,1
11026,75.4167,1
11082,61.65,1
11124,18.45,1
11209,1285.9,1
11227,939.4,1
11311,566.5667,1
11325,3110.1,1
11365,1076.45,1
11404,96.1667,1
11489,68.9,1
11538,0.1,1
11583,155.85,1
11604,1117.05,1
11607,93.55,1
11628,70.4667,1
11644,27.2167,1
11711,82.7,1
11735,431.2833,1
11739,5.95,1
11748,174.4667,1
11800,149.4667,1
11808,140.6,1
11812,0.25,1
11813,0.45,1
11856,4814.0833,1
11879,2540.8833,1
11937,5.3833,1
12043,23.5833,1
12073,73.0333,1
12127,12.9833,1
12146,6.6167,1
12160,1565.9833,1
12207,60.8833,1
12222,625.15,1
12234,22.7333,1
12241,281.8667,1
12270,0.95,1
12279,0.1333,1
12385,3073.0333,1
12442,269.9333,1
12508,718.9667,1
12534,58.7833,1
12551,272.8,1
12589,469.9,1
12610,256.95,1
12644,0.95,1
12701,0.1,1
12735,217.3833,1
12751,130.2333,1
12761,619.7333,1
12771,88.2667,1
12797,5.0167,1
12802,111.3333,1
12808,3.0833,1
12811,0.7667,1
12816,101.2333,1
12857,688.5,1
12868,48.8667,1
12898,87.75,1
12971,109.65,1
12989,883.0333,1
13043,110.05,1
13076,259.9667,1
13079,1392.7,1
13132,2255.25,1
13134,15.2167,1
13169,4.0333,1
13179,143.4667,1
13180,496.0333,1
13266,879.2,1
13388,6389.2833,1
13463,96.5667,1
13501,86.15,1
13510,504.65,1
13566,283.0667,1
13586,3.15,1
13620,2236.5667,1
13644,323.8667,1
13807,60.6667,1
13902,28.3667,1
13960,19.5333,1
14425,12.0,1
14470,8.45,1
14629,1339.0667,1
14633,240.15,1
14700,663.2667,1
14735,1163.1,1
14765,5155.9167,1
14915,1920.1333,1
14953,38.8333,1
15110,0.2333,1
15179,2.6167,1
15345,874.45,1
15472,304.1,1
15736,974.3,1
16043,491.3,1
16052,1152.3667,1
16118,1387.8667,1
16414,440.6333,1
16417,0.1333,1
16450,1018.15,1
16473,1.4667,1
16632,1724.8333,1
16725,3148.7333,1
16728,403.8667,1
16825,0.5333,1
16832,0.2,1
16863,10.9167,1
17159,333.7667,1
17524,146.2167,1
17943,14.0,1
18314,6.3,1
18319,309.3667,1
18360,582.5667,1
18510,9.4667,1
18678,348.0667,1
18692,1701.7,1
18719,355.85,1
18722,121.0333,1
18865,0.1833,1
18954,1372.3,1
19005,1020.65,1
19053,16.2333,1
19074,156.5333,1
19150,266.7333,1
19178,81.5,1
19268,140.6667,1
19347,42.7,1
19562,1850.7333,1
19636,63.3,1
19692,117.2833,1
19741,2.5,1
19821,528.0667,1
19845,5.2667,1
19954,1838.4667,1
19969,3.4,1
20556,0.3333,1
20733,265.4,1
21801,2.2,1
22161,0.2,1
22195,5.05,1
22351,0.2333,1
22476,146.3333,1
22533,2118.1333,1
22653,0.0833,1
23526,1.0167,1
23708,1079.1667,1
24423,3005.05,1
24451,562.4167,1
24924,1367.6,1
25057,412.9833,1
25156,376.0667,1
25211,3060.1333,1
25863,279.1,1
25992,23.5833,1
26922,2.4167,1
26933,773.9,1
26949,6.4,1
26958,354.1667,1
27104,0.2,1
27576,392.0333,1
27832,5.9,1
30427,6.55,1
30439,0.0833,1
31588,13.65,1
32237,899.4667,1
